Make,Model,Type,Origin,DriveTrain,MSRP,EngineSize,Cylinders,Horsepower,MPG_Highway,Weight,Length
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,25955,2.4,4,220,27,3217,169
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,25215,2.4,4,150,30,3357,194
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,33295,3.5,6,255,27,3650,198
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,30950,2.7,6,200,28,3448,194
Chrysler,Town and Country LX,Sedan,USA,Front,27490,3.3,6,180,26,4068,201
Chrysler,Town and Country Limited,Sedan,USA,Front,38380,3.8,6,215,25,4331,201
Chrysler,Crossfire 2dr,Sports,USA,Rear,34495,3.2,6,215,25,3060,160
Chrysler,Pacifica,Wagon,USA,Rear,31230,3.5,6,250,23,4675,199
Dodge,Durango SLT,SUV,USA,All,32235,4.7,8,230,21,4987,201
Dodge,Neon SE 4dr,Sedan,USA,Front,13670,2,4,132,36,2581,174
Dodge,Neon SXT 4dr,Sedan,USA,Front,15040,2,4,132,36,2626,174
Dodge,Intrepid SE 4dr,Sedan,USA,Front,22035,2.7,6,200,29,3469,204
Dodge,Stratus SXT 4dr,Sedan,USA,Front,18820,2.4,4,150,28,3182,191
Dodge,Stratus SE 4dr,Sedan,USA,Front,20220,2.4,4,150,28,3175,191
Dodge,Intrepid ES 4dr,Sedan,USA,Front,24885,3.5,6,232,27,3487,204
Dodge,Caravan SE,Sedan,USA,Front,21795,2.4,4,150,26,3862,189
Dodge,Grand Caravan SXT,Sedan,USA,All,32660,3.8,6,215,25,4440,201
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,81795,8.3,10,500,20,3410,176
Dodge,Dakota Regular Cab,Truck,USA,Rear,17630,3.7,6,210,22,3714,193
Dodge,Dakota Club Cab,Truck,USA,Rear,20300,3.7,6,210,22,3829,219
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,20215,3.7,6,215,21,4542,208
Ford,Excursion 6.8 XLT,SUV,USA,All,41475,6.8,10,310,13,7190,227
Ford,Expedition 4.6 XLT,SUV,USA,Front,34560,4.6,8,232,19,5000,206
Ford,Explorer XLT V6,SUV,USA,All,29670,4,6,210,20,4463,190
Ford,Escape XLS,SUV,USA,All,22515,3,6,201,23,3346,173
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,13270,2,4,130,33,2612,168
Ford,Focus LX 4dr,Sedan,USA,Front,13730,2,4,110,36,2606,168
Ford,Focus SE 4dr,Sedan,USA,Front,15460,2,4,130,33,2606,168
Ford,Focus ZX5 5dr,Sedan,USA,Front,15580,2,4,130,33,2691,168
Ford,Focus SVT 2dr,Sedan,USA,Front,19135,2,4,170,28,2750,168
Ford,Taurus LX 4dr,Sedan,USA,Front,20320,3,6,155,27,3306,198
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,22735,3,6,201,26,3313,198
Ford,Crown Victoria 4dr,Sedan,USA,Rear,24345,4.6,8,224,25,4057,212
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,27370,4.6,8,224,25,4057,212
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,30315,4.6,8,239,25,4057,212
Ford,Freestar SE,Sedan,USA,Front,26930,3.9,6,193,23,4275,201
Ford,Mustang 2dr (convertible),Sports,USA,Rear,18345,3.8,6,193,29,3290,183
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,29380,4.6,8,260,25,3347,183
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,37530,3.9,8,280,24,3780,186
Ford,F-150 Regular Cab XL,Truck,USA,Rear,22010,4.6,8,231,19,4788,211
Ford,F-150 Supercab Lariat,Truck,USA,All,33540,5.4,8,300,18,5464,218
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,14385,2.3,4,143,29,3028,188
Ford,Focus ZTW,Wagon,USA,Front,17475,2,4,130,33,2702,178
Ford,Taurus SE,Wagon,USA,Front,22290,3,6,155,26,3497,198
GMC,Envoy XUV SLE,SUV,USA,Front,31890,4.2,6,275,19,4945,208
GMC,Yukon 1500 SLE,SUV,USA,Front,35725,4.8,8,285,19,5042,199
GMC,Yukon XL 2500 SLT,SUV,USA,All,46265,6,8,325,17,6133,219
GMC,Safari SLE,Sedan,USA,Rear,25640,4.3,6,190,20,4309,190
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,16530,2.8,4,175,25,3351,192
GMC,Sierra Extended Cab 1500,Truck,USA,Rear,25717,4.8,8,285,20,4548,230
GMC,Sierra HD 2500,Truck,USA,All,29322,6,8,300,18,5440,222
GMC,Sonoma Crew Cab,Truck,USA,All,25395,4.3,6,190,19,4083,208
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,20140,1.4,4,93,51,2732,175
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,19110,2,3,73,66,1850,155
Honda,Pilot LX,SUV,Asia,All,27560,3.5,6,240,22,4387,188
Honda,CR-V LX,SUV,Asia,All,19860,2.4,4,160,25,3258,179
Honda,Element LX,SUV,Asia,All,18690,2.4,4,160,24,3468,167
Honda,Civic DX 2dr,Sedan,Asia,Front,13270,1.7,4,115,38,2432,175
Honda,Civic HX 2dr,Sedan,Asia,Front,14170,1.7,4,117,44,2500,175
Honda,Civic LX 4dr,Sedan,Asia,Front,15850,1.7,4,115,38,2513,175
Honda,Accord LX 2dr,Sedan,Asia,Front,19860,2.4,4,160,34,2994,188
Honda,Accord EX 2dr,Sedan,Asia,Front,22260,2.4,4,160,34,3047,188
Honda,Civic EX 4dr,Sedan,Asia,Front,17750,1.7,4,127,37,2601,175
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,19490,2,4,160,30,2782,166
Honda,Accord LX V6 4dr,Sedan,Asia,Front,23760,3,6,240,30,3349,190
Honda,Accord EX V6 2dr,Sedan,Asia,Front,26960,3,6,240,30,3294,188
Honda,Odyssey LX,Sedan,Asia,Front,24950,3.5,6,240,25,4310,201
Honda,Odyssey EX,Sedan,Asia,Front,27450,3.5,6,240,25,4365,201
Honda,S2000 convertible 2dr,Sports,Asia,Rear,33260,2.2,4,240,25,2835,162
Hummer,H2,SUV,USA,All,49995,6,8,316,12,6400,190
Hyundai,Santa Fe GLS,SUV,Asia,Front,21589,2.7,6,173,26,3549,177
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,10539,1.6,4,103,33,2255,167
Hyundai,Accent GL 4dr,Sedan,Asia,Front,11839,1.6,4,103,33,2290,167
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,11939,1.6,4,103,33,2339,167
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,13839,2,4,138,34,2635,178
Hyundai,Elantra GT 4dr,Sedan,Asia,Front,15389,2,4,138,34,2635,178
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,15389,2,4,138,34,2698,178
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,19339,2.7,6,170,27,3217,187
Hyundai,Sonata LX 4dr,Sedan,Asia,Front,20339,2.7,6,170,27,3217,187
Hyundai,XG350 4dr,Sedan,Asia,Front,24589,3.5,6,194,26,3651,192
Hyundai,XG350 L 4dr,Sedan,Asia,Front,26189,3.5,6,194,26,3651,192
Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front,18739,2.7,6,172,26,3023,173
Infiniti,G35 4dr,Sedan,Asia,Rear,28495,3.5,6,260,26,3336,187
Infiniti,G35 Sport Coupe 2dr,Sedan,Asia,Rear,29795,3.5,6,280,26,3416,182
Infiniti,G35 4dr,Sedan,Asia,All,32445,3.5,6,260,26,3677,187
Infiniti,I35 4dr,Sedan,Asia,Front,31145,3.5,6,255,26,3306,194
Infiniti,M45 4dr,Sedan,Asia,Rear,42845,4.5,8,340,23,3851,197
Infiniti,Q45 Luxury 4dr,Sedan,Asia,Rear,52545,4.5,8,340,23,3977,200
Infiniti,FX35,Wagon,Asia,Rear,34895,3.5,6,280,22,4056,189
Infiniti,FX45,Wagon,Asia,All,36395,4.5,8,315,19,4309,189
Isuzu,Ascender S,SUV,Asia,All,31849,4.2,6,275,20,4967,208
Isuzu,Rodeo S,SUV,Asia,Front,20449,3.2,6,193,21,3836,178
Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,29995,2.5,6,192,26,3428,184
Jaguar,X-Type 3.0 4dr,Sedan,Europe,All,33995,3,6,227,25,3516,184
Jaguar,S-Type 3.0 4dr,Sedan,Europe,Rear,43895,3,6,235,26,3777,192
Jaguar,S-Type 4.2 4dr,Sedan,Europe,Rear,49995,4.2,8,294,28,3874,192
Jaguar,S-Type R 4dr,Sedan,Europe,Rear,63120,4.2,8,390,24,4046,192
Jaguar,Vanden Plas 4dr,Sedan,Europe,Rear,68995,4.2,8,294,28,3803,200
Jaguar,XJ8 4dr,Sedan,Europe,Rear,59995,4.2,8,294,28,3803,200
Jaguar,XJR 4dr,Sedan,Europe,Rear,74995,4.2,8,390,24,3948,200
Jaguar,XK8 coupe 2dr,Sports,Europe,Rear,69995,4.2,8,294,26,3779,187
Jaguar,XK8 convertible 2dr,Sports,Europe,Rear,74995,4.2,8,294,26,3980,187
Jaguar,XKR coupe 2dr,Sports,Europe,Rear,81995,4.2,8,390,23,3865,187
Jaguar,XKR convertible 2dr,Sports,Europe,Rear,86995,4.2,8,390,23,4042,187
Jeep,Grand Cherokee Laredo,SUV,USA,Front,27905,4,6,195,21,3790,181
Jeep,Liberty Sport,SUV,USA,All,20130,2.4,4,150,24,3826,174
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,25520,4,6,190,19,3575,150
Kia,Sorento LX,SUV,Asia,Front,19635,3.5,6,192,19,4112,180
Kia,Optima LX 4dr,Sedan,Asia,Front,16040,2.4,4,138,30,3281,186
Kia,Rio 4dr manual,Sedan,Asia,Front,10280,1.6,4,104,33,2403,167
Kia,Rio 4dr auto,Sedan,Asia,Front,11155,1.6,4,104,32,2458,167
Kia,Spectra 4dr,Sedan,Asia,Front,12360,1.8,4,124,32,2661,178
Kia,Spectra GS 4dr hatch,Sedan,Asia,Front,13580,1.8,4,124,32,2686,178
Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front,14630,1.8,4,124,32,2697,178
Kia,Optima LX V6 4dr,Sedan,Asia,Front,18435,2.7,6,170,27,3279,186
Kia,Amanti 4dr,Sedan,Asia,Front,26000,3.5,6,195,25,4021,196
Kia,Sedona LX,Sedan,Asia,Front,20615,3.5,6,195,22,4802,194
Kia,Rio Cinco,Wagon,Asia,Front,11905,1.6,4,104,33,2447,167
Land Rover,Range Rover HSE,SUV,Europe,All,72250,4.4,8,282,16,5379,195
Land Rover,Discovery SE,SUV,Europe,All,39250,4.6,8,217,16,4576,185
Land Rover,Freelander SE,SUV,Europe,All,25995,2.5,6,174,21,3577,175
Lexus,GX 470,SUV,Asia,All,45700,4.7,8,235,19,4740,188
Lexus,LX 470,SUV,Asia,All,64800,4.7,8,235,17,5590,193
Lexus,RX 330,SUV,Asia,All,39195,3.3,6,230,24,4065,186
Lexus,ES 330 4dr,Sedan,Asia,Front,32350,3.3,6,225,29,3460,191
Lexus,IS 300 4dr manual,Sedan,Asia,Rear,31045,3,6,215,25,3255,177
Lexus,IS 300 4dr auto,Sedan,Asia,Rear,32415,3,6,215,24,3285,177
Lexus,GS 300 4dr,Sedan,Asia,Rear,41010,3,6,220,25,3649,189
Lexus,GS 430 4dr,Sedan,Asia,Rear,48450,4.3,8,300,23,3715,189
Lexus,LS 430 4dr,Sedan,Asia,Rear,55750,4.3,8,290,25,3990,197
Lexus,SC 430 convertible 2dr,Sports,Asia,Rear,63200,4.3,8,300,23,3840,178
Lexus,IS 300 SportCross,Wagon,Asia,Rear,32455,3,6,215,24,3410,177
Lincoln,Navigator Luxury,SUV,USA,All,52775,5.4,8,300,18,5969,206
Lincoln,Aviator Ultimate,SUV,USA,Front,42915,4.6,8,302,18,4834,193
Lincoln,LS V6 Luxury 4dr,Sedan,USA,Rear,32495,3,6,232,26,3681,194
Lincoln,LS V6 Premium 4dr,Sedan,USA,Rear,36895,3,6,232,26,3681,194
Lincoln,LS V8 Sport 4dr,Sedan,USA,Rear,40095,3.9,8,280,24,3768,194
Lincoln,LS V8 Ultimate 4dr,Sedan,USA,Rear,43495,3.9,8,280,24,3768,194
Lincoln,Town Car Signature 4dr,Sedan,USA,Rear,41815,4.6,8,239,25,4369,215
Lincoln,Town Car Ultimate 4dr,Sedan,USA,Rear,44925,4.6,8,239,25,4369,215
Lincoln,Town Car Ultimate L 4dr,Sedan,USA,Rear,50470,4.6,8,239,25,4474,221
MINI,Cooper,Sedan,Europe,Front,16999,1.6,4,115,37,2524,143
MINI,Cooper S,Sedan,Europe,Front,19999,1.6,4,163,34,2678,144
Mazda,Tribute DX 2.0,SUV,Asia,All,21087,2,4,130,25,3091,173
Mazda,Mazda3 i 4dr,Sedan,Asia,Front,15500,2,4,148,34,2696,178
Mazda,Mazda3 s 4dr,Sedan,Asia,Front,17200,2.3,4,160,31,2762,179
Mazda,Mazda6 i 4dr,Sedan,Asia,Front,19270,2.3,4,160,32,3042,187
Mazda,MPV ES,Sedan,Asia,Front,28750,3,6,200,25,3812,188
Mazda,MX-5 Miata convertible 2dr,Sports,Asia,Rear,22388,1.8,4,142,28,2387,156
Mazda,MX-5 Miata LS convertible 2dr,Sports,Asia,Rear,25193,1.8,4,142,28,2387,156
Mazda,RX-8 4dr automatic,Sports,Asia,Rear,25700,1.3,,197,25,3053,174
Mazda,RX-8 4dr manual,Sports,Asia,Rear,27200,1.3,,238,24,3029,174
Mazda,B2300 SX Regular Cab,Truck,Asia,Rear,14840,2.3,4,143,29,2960,188
Mazda,B4000 SE Cab Plus,Truck,Asia,All,22350,4,6,207,19,3571,203
Mercedes-Benz,G500,SUV,Europe,All,76870,5,8,292,14,5423,186
Mercedes-Benz,ML500,SUV,Europe,All,46470,5,8,288,17,4874,183
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,Rear,26060,1.8,4,189,30,3250,178
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,Rear,28370,3.2,6,215,26,3430,178
Mercedes-Benz,C240 4dr,Sedan,Europe,Rear,32280,2.6,6,168,25,3360,178
Mercedes-Benz,C240 4dr,Sedan,Europe,All,33480,2.6,6,168,25,3360,178
Mercedes-Benz,C320 Sport 4dr,Sedan,Europe,Rear,35920,3.2,6,215,26,3430,178
Mercedes-Benz,C320 4dr,Sedan,Europe,Rear,37630,3.2,6,215,26,3450,178
Mercedes-Benz,C320 4dr,Sedan,Europe,All,38830,3.2,6,215,27,3450,178
Mercedes-Benz,C32 AMG 4dr,Sedan,Europe,Rear,52120,3.2,6,349,21,3540,178
Mercedes-Benz,CL500 2dr,Sedan,Europe,Rear,94820,5,8,302,24,4085,196
Mercedes-Benz,CL600 2dr,Sedan,Europe,Rear,128420,5.5,12,493,19,4473,196
Mercedes-Benz,CLK320 coupe 2dr (convertible),Sedan,Europe,Rear,45707,3.2,6,215,26,3770,183
Mercedes-Benz,CLK500 coupe 2dr (convertible),Sedan,Europe,Rear,52800,5,8,302,22,3585,183
Mercedes-Benz,E320 4dr,Sedan,Europe,Rear,48170,3.2,6,221,27,3635,190
Mercedes-Benz,E500 4dr,Sedan,Europe,Rear,57270,5,8,302,20,3815,190
Mercedes-Benz,S430 4dr,Sedan,Europe,Rear,74320,4.3,8,275,26,4160,203
Mercedes-Benz,S500 4dr,Sedan,Europe,All,86970,5,8,302,24,4390,203
Mercedes-Benz,SL500 convertible 2dr,Sports,Europe,Rear,90520,5,8,302,23,4065,179
Mercedes-Benz,SL55 AMG 2dr,Sports,Europe,Rear,121770,5.5,8,493,21,4235,179
Mercedes-Benz,SL600 convertible 2dr,Sports,Europe,Rear,126670,5.5,12,493,19,4429,179
Mercedes-Benz,SLK230 convertible 2dr,Sports,Europe,Rear,40320,2.3,4,192,29,3055,158
Mercedes-Benz,SLK32 AMG 2dr,Sports,Europe,Rear,56170,3.2,6,349,22,3220,158
Mercedes-Benz,C240,Wagon,Europe,Rear,33780,2.6,6,168,25,3470,179
Mercedes-Benz,E320,Wagon,Europe,Rear,50670,3.2,6,221,27,3966,190
Mercedes-Benz,E500,Wagon,Europe,All,60670,5,8,302,24,4230,190
Mercury,Mountaineer,SUV,USA,Front,29995,4,6,210,21,4374,190
Mercury,Sable GS 4dr,Sedan,USA,Front,21595,3,6,155,27,3308,200
Mercury,Grand Marquis GS 4dr,Sedan,USA,Rear,24695,4.6,8,224,25,4052,212
Mercury,Grand Marquis LS Premium 4dr,Sedan,USA,Rear,29595,4.6,8,224,25,4052,212
Mercury,Sable LS Premium 4dr,Sedan,USA,Front,23895,3,6,201,26,3315,200
Mercury,Grand Marquis LS Ultimate 4dr,Sedan,USA,Rear,30895,4.6,8,224,25,4052,212
Mercury,Marauder 4dr,Sedan,USA,Rear,34495,4.6,8,302,23,4195,212
Mercury,Monterey Luxury,Sedan,USA,Front,33995,4.2,6,201,23,4340,202
Mercury,Sable GS,Wagon,USA,Front,22595,3,6,155,26,3488,198
Mitsubishi,Endeavor XLS,SUV,Asia,All,30492,3.8,6,215,21,4134,190
Mitsubishi,Montero XLS,SUV,Asia,All,33112,3.8,6,215,19,4718,190
Mitsubishi,Outlander LS,SUV,Asia,Front,18892,2.4,4,160,27,3240,179
Mitsubishi,Lancer ES 4dr,Sedan,Asia,Front,14622,2,4,120,31,2656,181
Mitsubishi,Lancer LS 4dr,Sedan,Asia,Front,16722,2,4,120,31,2795,181
Mitsubishi,Galant ES 2.4L 4dr,Sedan,Asia,Front,19312,2.4,4,160,30,3351,191
Mitsubishi,Lancer OZ Rally 4dr auto,Sedan,Asia,Front,17232,2,4,120,31,2744,181
Mitsubishi,Diamante LS 4dr,Sedan,Asia,Front,29282,3.5,6,205,25,3549,194
Mitsubishi,Galant GTS 4dr,Sedan,Asia,Front,25700,3.8,6,230,26,3649,191
Mitsubishi,Eclipse GTS 2dr,Sports,Asia,Front,25092,3,6,210,28,3241,177
Mitsubishi,Eclipse Spyder GT convertible 2dr,Sports,Asia,Front,26992,3,6,210,28,3296,177
Mitsubishi,Lancer Evolution 4dr,Sports,Asia,Front,29562,2,4,271,26,3263,179
Mitsubishi,Lancer Sportback LS,Wagon,Asia,Front,17495,2.4,4,160,31,3020,181
Nissan,Pathfinder Armada SE,SUV,Asia,Front,33840,5.6,8,305,19,5013,207
Nissan,Pathfinder SE,SUV,Asia,Front,27339,3.5,6,240,21,3871,183
Nissan,Xterra XE V6,SUV,Asia,Front,20939,3.3,6,180,20,3760,178
Nissan,Sentra 1.8 4dr,Sedan,Asia,Front,12740,1.8,4,126,35,2513,178
Nissan,Sentra 1.8 S 4dr,Sedan,Asia,Front,14740,1.8,4,126,35,2581,178
Nissan,Altima S 4dr,Sedan,Asia,Front,19240,2.5,4,175,26,3039,192
Nissan,Sentra SE-R 4dr,Sedan,Asia,Front,17640,2.5,4,165,28,2761,178
